name,community,ai_involvement,publication_types,derived_groups,roles_ADD_YOUR_OWN
Mark C. Marino,ELO core / netprov & exec,Endogenous,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 2; ELC 3; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2016; ELO Team 2021; ELO Team 2022; ELO Team 2024; ELO Team 2026; ELit Directory Team; HASTAC Leadership; New Media Writing Prize; NuMeWriPri Shortlists; Opening Up Digital Fictions Prize; Second tuesday Salons,
Nick Montfort,Computational / generative poetry,Endogenous,Academic; Anthology; Archive; Art Mag; Lit Mag,0x0a; ELC 2; ELC 3; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2021; HASTAC Leadership; Interactive Fiction Tech Foundation; School for Poetic Computation; The Verse verse; WordHack; XYZZY Awards,
Stuart Moulthrop,1st-gen hypertext (Storyspace/Eastgate),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 2; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2014; ELO Team 2016; ELO Team 2021; ELO Team 2024; ELO Team 2026; Eastgate Systems; Electronic Book Review Staff,
Deena Larsen,1st-gen hypertext (Storyspace/Eastgate),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2024; ELO Team 2026; Eastgate Systems; Indian Consortium for Interactive Digital Narrative; NuMeWriPri Shortlists; Second tuesday Salons,
Scott Rettberg,Smaller / mixed groups,Endogenous,Academic; Anthology; Archive; Art Mag; Lit Mag,ELC 2; ELC 3; ELMCIP Project Team; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2021; Electronic Book Review Staff; trAce + Alt-X Hypertext Competitions,
Jason Nelson,Net.art / listserv writing,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 2; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2021; ELO Team 2022; ELO Team 2024; ELO Team 2026; ELit Directory Team; New Media Writing Prize; NuMeWriPri Shortlists; Woollahra Digital Literary Award,
John Cayley,E-poetry / digital concrete,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 3; ELC 4; ELO AWARDS; ELO Keynotes + plenaries; ELO Team 2021; WordHack,
Rob Wittig,ELO core / netprov & exec,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 3; ELO Exec + Lit Advisory Board; ELO Team 2016; Electronic Book Review Staff; New Media Writing Prize; NuMeWriPri Shortlists; Second tuesday Salons; WordHack,
Dene Grigar,Current ELO generation,Endogenous,Academic; Anthology; Archive; Lit Mag,DH Now; Drunken Boat Staff; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2014; ELO Team 2016; ELO Team 2021; ELO Team 2022; ELO Team 2024; ELO Team 2026; ELit Directory Team; NT2 Lab; NuMeWriPri Shortlists; Second tuesday Salons,
M. D. Coverley,1st-gen hypertext (Storyspace/Eastgate),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2014; ELO Team 2016,
Anastasia Salter,Digital humanities crossover,Endogenous,Academic; Anthology; Lit Mag,ELC 3; ELC 4; ELO Exec + Lit Advisory Board; ELO Keynotes + plenaries; ELO Team 2014; ELO Team 2016; ELO Team 2021; ELO Team 2024; ELO Team 2026; HASTAC Leadership,
Judy Malloy,1st-gen hypertext (Storyspace/Eastgate),Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 3; ELO AWARDS; Eastgate Systems; NuMeWriPri Shortlists,
Stephanie Strickland,Smaller / mixed groups,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 3; ELC 4; ELO AWARDS; Eastgate Systems; WordHack,
Alan Bigelow,Smaller / mixed groups,None,Academic; Anthology; Archive; Lit Mag,Digital Humanities Awards; ELC 2; ELC 4; ELO AWARDS; ELO Team 2014; ELO Team 2021; ELO Team 2024; New Media Writing Prize; NuMeWriPri Shortlists; Opening Up Digital Fictions Prize,
Serge Bouchardon,Smaller / mixed groups,None,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 4; ELMCIP Project Team; ELO Exec + Lit Advisory Board; ELO Team 2022; Electronic Book Review Staff; NT2 Lab; New Media Writing Prize; NuMeWriPri Shortlists,
Caitlin Fisher,Fisher / Fan cluster,None,Academic; Anthology; Archive,ELC 2; ELC 3; ELC 4; ELO AWARDS; ELO Exec + Lit Advisory Board; ELO Team 2014; ELO Team 2016; ELO Team 2021; ELO Team 2022; HASTAC Leadership; New Media Writing Prize; Second tuesday Salons,
Talan Memmott,Smaller / mixed groups,None,Academic; Anthology; Archive; Lit Mag,ELC 1; ELC 3; ELMCIP Project Team; ELO AWARDS; ELO Keynotes + plenaries; ELit Directory Team; trAce. Online Writing Centre (95-05),
Mez Breeze,Breeze / Wilks cluster,Endogenous,Academic; Anthology; Archive; Lit Mag,ELC 2; ELC 3; ELC 4; ELO AWARDS; ELO Team 2024; ELO Team 2026; New Media Writing Prize,
