source_file,link_text,target_node
ELO Keynotes + plenaries.md,N. Katherine Hayles,N. Katherine Hayles
ELO Keynotes + plenaries.md,Robert Coover,Robert Coover
ELO Keynotes + plenaries.md,Jason Epstein,Jason Epstein
ELO Keynotes + plenaries.md,Kenneth Thibodeau,Kenneth Thibodeau
ELO Keynotes + plenaries.md,N. Katherine Hayles,N. Katherine Hayles
ELO Keynotes + plenaries.md,Mark Amerika,Mark Amerika
ELO Keynotes + plenaries.md,Sue Thomas,Sue Thomas
ELO Keynotes + plenaries.md,John Cayley,John Cayley
ELO Keynotes + plenaries.md,George Landow,George Landow
ELO Keynotes + plenaries.md,Angela Chang,Angela Chang
ELO Keynotes + plenaries.md,Peggy Chi,Peggy Chi
ELO Keynotes + plenaries.md,Paula Pizzichini,Paula Pizzichini
ELO Keynotes + plenaries.md,Mauro Carassai,Mauro Carassai
ELO Keynotes + plenaries.md,Lawrence Giffin,Lawrence Giffin
ELO Keynotes + plenaries.md,Jill Walker Rettberg,Jill Walker Rettberg
ELO Keynotes + plenaries.md,Illya Szilak,Illya Szilak
ELO Keynotes + plenaries.md,Lane Hall,Lane Hall
ELO Keynotes + plenaries.md,Scott Rettberg,Scott Rettberg
ELO Keynotes + plenaries.md,Jill Walker Rettberg,Jill Walker Rettberg
ELO Keynotes + plenaries.md,Espen J. Aarseth,Espen J. Aarseth
ELO Keynotes + plenaries.md,Stuart Moulthrop,Stuart Moulthrop
ELO Keynotes + plenaries.md,Stephanie Boluk,Stephanie Boluk
ELO Keynotes + plenaries.md,Diane K. Jakacki,Diane K. Jakacki
ELO Keynotes + plenaries.md,Anastasia Salter,Anastasia Salter
ELO Keynotes + plenaries.md,Elizabeth Losh,Elizabeth Losh
ELO Keynotes + plenaries.md,Jon Saklofske,Jon Saklofske
ELO Keynotes + plenaries.md,Christine Wilks,Christine Wilks
ELO Keynotes + plenaries.md,Friedrich W. Block,Friedrich W. Block
ELO Keynotes + plenaries.md,Eugenio Tisselli,Eugenio Tisselli
ELO Keynotes + plenaries.md,Rita Raley,Rita Raley
ELO Keynotes + plenaries.md,Matthew G. Kirschenbaum,Matthew G. Kirschenbaum
ELO Keynotes + plenaries.md,Claudia Kozak,Claudia Kozak
ELO Keynotes + plenaries.md,Michael J. Maguire,Michael J. Maguire
ELO Keynotes + plenaries.md,Astrid Ensslin,Astrid Ensslin
ELO Keynotes + plenaries.md,Anne Karhio,Anne Karhio
ELO Keynotes + plenaries.md,Noah Wardrip-Fruin,Noah Wardrip-Fruin
ELO Keynotes + plenaries.md,Stuart Moulthrop,Stuart Moulthrop
ELO Keynotes + plenaries.md,Safiya Umoja Noble,Safiya Umoja Noble
ELO Keynotes + plenaries.md,Aaron A. Reed,Aaron A. Reed
ELO Keynotes + plenaries.md,Shira Chess,Shira Chess
ELO Keynotes + plenaries.md,Lai-Tze Fan,Lai-Tze Fan
ELO Keynotes + plenaries.md,Archana Prasad,Archana Prasad
ELO Keynotes + plenaries.md,Olga Goriunova,Olga Goriunova
ELO Keynotes + plenaries.md,Daniela Calisi,Daniela Calisi
ELO Keynotes + plenaries.md,Roberto Carraro,Roberto Carraro
ELO Keynotes + plenaries.md,Gualtiero Carraro,Gualtiero Carraro
ELO Keynotes + plenaries.md,Deena Larsen,Deena Larsen
ELO Keynotes + plenaries.md,Amira Hanafi,Amira Hanafi
ELO Keynotes + plenaries.md,Jussi Parikka,Jussi Parikka
ELO Keynotes + plenaries.md,Lori Emerson,Lori Emerson
ELO Keynotes + plenaries.md,Chris Klimas,Chris Klimas
ELO Keynotes + plenaries.md,Edmond Y. Chang,Edmond Y. Chang
